,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,D12,HEX,IEC,Unkn,,7604.01674775681,(+) Positive,Unknown,Positive,False
,E01,HEX,IEC,Unkn,,7604.82513877658,(+) Positive,Unknown,Positive,False
,E02,HEX,IEC,Unkn,,7604.69737707594,(+) Positive,Unknown,Positive,False
,E03,HEX,IEC,Unkn,,7620.89874631096,(+) Positive,Unknown,Positive,False
,E04,HEX,IEC,Unkn,,7605.90221534581,(+) Positive,Unknown,Positive,False
,E05,HEX,IEC,Unkn,,7659.9736253289,(+) Positive,Unknown,Positive,False
,E06,HEX,IEC,Unkn,,7610.3269266526,(+) Positive,Unknown,Positive,False
,E07,HEX,IEC,Unkn,,7615.17017251166,(+) Positive,Unknown,Positive,False
,E08,HEX,IEC,Unkn,,7665.26536853525,(+) Positive,Unknown,Positive,False
,E09,HEX,IEC,Unkn,,7604.64068801252,(+) Positive,Unknown,Positive,False
,E10,HEX,IEC,Unkn,,6961.25565728433,(+) Positive,Unknown,Positive,False
,E11,HEX,IEC,Unkn,,7609.15292923588,(+) Positive,Unknown,Positive,False
,E12,HEX,IEC,Unkn,,7620.63624860276,(+) Positive,Unknown,Positive,False
,F01,HEX,IEC,Unkn,,7618.84012743736,(+) Positive,Unknown,Positive,False
,F02,HEX,IEC,Unkn,,7606.31885995025,(+) Positive,Unknown,Positive,False
,F03,HEX,IEC,Unkn,,7605.05084353112,(+) Positive,Unknown,Positive,False
,F04,HEX,IEC,Unkn,,7608.1792282681,(+) Positive,Unknown,Positive,False
,F05,HEX,IEC,Unkn,,7042.64061537878,(+) Positive,Unknown,Positive,False
,F06,HEX,IEC,Unkn,,7610.4706340596,(+) Positive,Unknown,Positive,False
,F07,HEX,IEC,Unkn,,7607.21155474187,(+) Positive,Unknown,Positive,False
,F08,HEX,IEC,Unkn,,7667.02156729863,(+) Positive,Unknown,Positive,False
,F09,HEX,IEC,Unkn,,7604.53923976712,(+) Positive,Unknown,Positive,False
,F10,HEX,IEC,Unkn,,7668.78064547624,(+) Positive,Unknown,Positive,False
,F11,HEX,IEC,Unkn,,7609.28980844107,(+) Positive,Unknown,Positive,False
,F12,HEX,IEC,Unkn,,7605.19102708266,(+) Positive,Unknown,Positive,False
,G01,HEX,IEC,Unkn,,7604.64355920514,(+) Positive,Unknown,Positive,False
,G02,HEX,IEC,Unkn,,7665.65160251825,(+) Positive,Unknown,Positive,False
,G03,HEX,IEC,Unkn,,7617.37927713384,(+) Positive,Unknown,Positive,False
,G04,HEX,IEC,Unkn,,7612.52119317219,(+) Positive,Unknown,Positive,False
,G05,HEX,IEC,Unkn,,7619.72289094906,(+) Positive,Unknown,Positive,False
,G06,HEX,IEC,Unkn,,7608.13463551616,(+) Positive,Unknown,Positive,False
,G07,HEX,IEC,Unkn,,7608.63579066593,(+) Positive,Unknown,Positive,False
,G08,HEX,IEC,Unkn,,7610.67548678393,(+) Positive,Unknown,Positive,False
,G09,HEX,IEC,Unkn,,7620.66177207949,(+) Positive,Unknown,Positive,False
,G10,HEX,IEC,Unkn,,7666.27413405636,(+) Positive,Unknown,Positive,False
,G11,HEX,IEC,Unkn,,7052.55338443396,(+) Positive,Unknown,Positive,False
,G12,HEX,IEC,Unkn,,7618.48173687202,(+) Positive,Unknown,Positive,False
,H01,HEX,IEC,Unkn,,7663.76872515716,(+) Positive,Unknown,Positive,False
,H02,HEX,IEC,Unkn,,7619.20983670399,(+) Positive,Unknown,Positive,False
,H03,HEX,IEC,Unkn,,7609.81603271374,(+) Positive,Unknown,Positive,False
,H04,HEX,IEC,Unkn,,7608.96121534736,(+) Positive,Unknown,Positive,False
,H05,HEX,IEC,Unkn,,7668.09181100848,(+) Positive,Unknown,Positive,False
,H06,HEX,IEC,Unkn,,7660.02341605216,(+) Positive,Unknown,Positive,False
,H07,HEX,IEC,Unkn,,7657.17799370921,(+) Positive,Unknown,Positive,False
,H08,HEX,IEC,Unkn,,7658.93345175446,(+) Positive,Unknown,Positive,False
,H09,HEX,IEC,Unkn,,7669.1783580287,(+) Positive,Unknown,Positive,False
,H10,HEX,IEC,Unkn,,7617.53001417456,(+) Positive,Unknown,Positive,False
,H11,HEX,IEC,Unkn,,7668.42471527424,(+) Positive,Unknown,Positive,False
,H12,HEX,IEC,Unkn,,6960.50111077522,(+) Positive,Unknown,Positive,False
